Author,context_left,context_right
Ansari et al. 2015)Doc B: ... Deep vein thrombosis is tested by compression ultrasonography ... (e.g. Piovella et al. 2002,"(§4.2).
et al., 2007), and report the average score. More
ﬁne-tuning details are provided in Appendix B.
5.3 Results
Table 1 shows the performance (F1 score) on
MRQA datasets. LinkBERT substantially outper-
forms BERT on all datasets. On average, the gain is
+4.1% absolute for the BERT tinyscale, +2.6% for
the BERT basescale, and +2.5% for the BERT large
scale. Table 2 shows the results on GLUE, where
LinkBERT performs moderately better than BERT.
These results suggest that LinkBERT is especially
effective at learning knowledge useful for QA tasks
(e.g. world knowledge), while keeping performance
on sentence-level language understanding.
5.4 Analysis
We further study when LinkBERT is especially
useful in downstream tasks.Improved multi-hop reasoning. In Table 1,
we ﬁnd that LinkBERT obtains notably large
gains on QA datasets that require reasoning with
multiple documents, such as HotpotQA (+5% over
BERT tiny), TriviaQA (+6%) and SearchQA (+8%),
as opposed to SQuAD (+1.4%) which just has
a single document per question. To further gain
qualitative insights, we studied in what QA exam-
ples LinkBERT succeeds but BERT fails. Figure
3 shows a representative example from HotpotQA.
Answering the question needs 2-hop reasoning:
identify “Roden Brothers were taken over by Birks
Group” from the ﬁrst document, and then “Birks
Group is headquartered in Montreal” from the sec-
ond document. While BERT tends to simply predict
an entity near the question entity (“Toronto” in the
ﬁrst document, which is just 1-hop), LinkBERT
correctly predicts the answer in the second docu-
ment (“Montreal”). Our intuition is that because
LinkBERT is pretrained with pairs of linked docu-
ments rather than purely single documents, it better
learns how to ﬂow information (e.g., do attention)
across tokens when multiple related documents
are given in the context. In summary, these results
suggest that pretraining with linked documents
helps for multi-hop reasoning on downstream tasks.
Improved understanding of document relations.
While the MRQA datasets typically use ground-
truth documents as context for answering questions,
in open-domain QA, QA systems need to use
documents obtained by a retriever, which may
include noisy documents besides gold ones (Chen
et al., 2017; Dunn et al., 2017). In such cases, QA
systems need to understand the document relations
to perform well (Yang et al., 2018). To simulate
this setting, we modify the SQuAD dataset by
prepending or appending 1–2 distracting documents
to the original document given to each question.
Table 3 shows the result. While BERT incurs a large
performance drop (-2.8%), LinkBERT is robust to
distracting documents (-0.5%). This result suggests
that pretraining with document links improves
the ability to understand document relations andThree days after undergoing a laparoscopic Whipple's procedure, a 43-year-old woman has swelling of her right leg. ... She was diagnosed with pancreatic cancer 1 month ago. ... Her temperature is 38°C (100.4°F), pulse is 90/min, and blood pressure is 118/78 mm Hg. Examination shows mild swelling of the right thigh to the ankle; there is no erythema or pitting edema. ... Which of the following is the most appropriate next step in management?(A)  CT pulmonary angiography     (B)  Compression ultrasonography(C)  D-dimer level                                 (D)  2 sets of blood culturesLinkBERT predicts: B (✓)    PubmedBERT predicts: D (✗)Leg swelling, pancreatic cancer(symptom) Deep vein thrombosis(possible cause)Compression ultrasonography(next step for diagnosis)Doc A: ... Pancreatic cancer can induce deep vein thrombosis in leg ...      (e.g. ","Ansari et al. 2015)Doc B: ... Deep vein thrombosis is tested by compression ultrasonography ... (e.g. Piovella et al. 2002)
[Tidal Basin, Washington D.C.]The Tidal Basin is a man-made reservoir located between the Potomac River and the Washington Channel in Washington, D.C. It is part of West Potomac Park, is near the National Mall and is a focal point of the National Cherry Blossom Festival held each spring. The Jeﬀerson Memorial, the Martin Luther King Jr. Memorial, the Franklin Delano Roosevelt Memorial, and the George Mason Memorial are situated adjacent to the Tidal Basin. MedQA-USMLE exampleNeed multi-hop reasoning
[The National Cherry Blossom Festival] … It is a spring celebration commemorating the March 27, 1912, gift of Japanese cherry trees from Mayor of Tokyo City to the city of Washington, D.C. ... Of the initial gift of 12 varieties of 3,020 trees, the Yoshino Cherry now dominates. ...Knowledge learned via document linksReference
Question: Roden Brothers were taken over in 1953 by a group headquartered in which Canadian city?Doc A: Roden Brothers was founded June 1, 1891 in Toronto, Ontario, Canada by Thomas and Frank Roden.  In the 1910s the firm became known as Roden Bros.  Ltd. and were later taken over by Henry Birks and Sons in 1953.  ... In 1974 Roden Bros.  Ltd. published the book, ""Rich Cut Glass"" with Clock House Publications in Peterborough, Ontario, which was a reprint of the 1917 edition published by Roden Bros., Toronto. Doc B: Birks Group (formerly Birks & Mayors) is a designer, manufacturer and retailer of jewellery, timepieces, silverware and gifts, with stores and manufacturing facilities located in Canada and the United States.  As of June 30, 2015, it operates stores under three diﬀerent retail banners: … The company is headquartered in Montreal, Quebec, with American corporate oﬀices located in Tamarac, Florida.LinkBERT prediction: “Montreal” (✓)                                 BERT prediction: “Toronto” (✗)HotpotQA exampleQuestion: Roden Brothers were taken over in 1953 by a group headquartered in which Canadian city?Doc A: Roden Brothers was founded June 1, 1891 in Toronto, Ontario, Canada by Thomas and Frank Roden.  In the 1910s the firm became known as Roden Bros.  Ltd. and were later taken over by Henry Birks and Sons in 1953.  ... In 1974 Roden Bros.  Ltd. published the book, ""Rich Cut Glass"" with Clock House Publications in Peterborough, Ontario, which was a reprint of the 1917 edition published by Roden Bros., Toronto. Doc B: Birks Group (formerly Birks & Mayors) is a designer, manufacturer and retailer of jewellery, timepieces, silverware and gifts, with stores and manufacturing facilities located in Canada and the United States.  As of June 30, 2015, it operates stores under three different retail banners: ... The company is headquartered in Montreal, Quebec, with American corporate offices located in Tamarac, Florida.LinkBERT prediction: “Montreal” (✓)     BERT prediction: “Toronto” (✗)HotpotQA example
LinkBERT predicts: “Montreal” (✓)      BERT predicts: “Toronto” (✗)Figure 3: Case study of multi-hop reasoning on HotpotQA.
Answering the question needs to identify “Roden Brothers
were taken over by Birks Group” from the ﬁrst document,
and then “Birks Group is headquartered in Montreal” from
the second document. While BERT tends to simply predict
an entity near the question entity (“Toronto” in the ﬁrst
document), LinkBERT correctly predicts the answer in the
second document (“Montreal”).
relevance. In particular, our intuition is that the
DRP objective helps the LM to better recognize
document relations like (anchor document, linked
document) in pret"
Lewis et al. 2020,"al”).
relevance. In particular, our intuition is that the
DRP objective helps the LM to better recognize
document relations like (anchor document, linked
document) in pretraining, which helps to recognize
relations like (question, right document) in down-
stream QA tasks. We indeed ﬁnd that ablating the
DRP objective from LinkBERT hurts performance
(§5.5). The strength of understanding document
relations also suggests the promise of applying
LinkBERT to various retrieval-augmented methods
and tasks (e.g. ","Lewis et al. 2020b), either as the
main LM or the dense retriever component.
Improved few-shot QA performance. We also
ﬁnd that LinkBERT is notably good at few-shot
learning. Concretely, for each MRQA dataset, we
ﬁne-tune with only 10% of the available training
data, and report the performance in Table 4. In this
few-shot regime, LinkBERT attains more signiﬁ-
cant gains over BERT, compared to the full-resource
regime in Table 1 (on NaturalQ, 5.4% vs 1.8% abso-
lute in F1, or 15% vs 7% in relative error re"
Beltagy et al.,"he
ablation result on the DRP objective (§4.2). Re-
moving DRP in pretraining hurts downstream QA
performance. The drop is large on tasks with multi-
ple documents (HotpotQA, TriviaQA, and SQuAD
with distracting documents). This suggests that
DRP facilitates LMs to learn document relations.
6 Biomedical LinkBERT ( BioLinkBERT )
Pretraining LMs on biomedical text is shown
to boost performance on biomedical NLP tasks
(","Beltagy et al., 2019; Lee et al., 2020; Lewis
et al., 2020a; Gu et al., 2020). Biomedical LMs
are typically trained on PubMed, which contains
abstracts and citations of biomedical papers. While
prior works only use their raw text for pretraining,
academic papers have rich dependencies with each
other via citations (references). We hypothesize
that incorporating citation links can help LMs learn
dependencies between p"
 Lee et al.,"The drop is large on tasks with multi-
ple documents (HotpotQA, TriviaQA, and SQuAD
with distracting documents). This suggests that
DRP facilitates LMs to learn document relations.
6 Biomedical LinkBERT ( BioLinkBERT )
Pretraining LMs on biomedical text is shown
to boost performance on biomedical NLP tasks
(Beltagy et al., 2019;"," Lee et al., 2020; Lewis
et al., 2020a; Gu et al., 2020). Biomedical LMs
are typically trained on PubMed, which contains
abstracts and citations of biomedical papers. While
prior works only use their raw text for pretraining,
academic papers have rich dependencies with each
other via citations (references). We hypothesize
that i"
"Lewis
et al.","rformance. The drop is large on tasks with multi-
ple documents (HotpotQA, TriviaQA, and SQuAD
with distracting documents). This suggests that
DRP facilitates LMs to learn document relations.
6 Biomedical LinkBERT ( BioLinkBERT )
Pretraining LMs on biomedical text is shown
to boost performance on biomedical NLP tasks
(Beltagy et al., 2019; Lee et al., 2020; ","Lewis
et al., 2020a; Gu et al., 2020). Biomedical LMs
are typically trained on PubMed, which contains
abstracts and citations of biomedical papers. While
prior works only use their raw text for pretraining,
academic papers have rich dependencies with each
other via citations (references). We hypothesize
that incorporating citation links can help LMs learn
de"
 Gu et al.,"aQA, and SQuAD
with distracting documents). This suggests that
DRP facilitates LMs to learn document relations.
6 Biomedical LinkBERT ( BioLinkBERT )
Pretraining LMs on biomedical text is shown
to boost performance on biomedical NLP tasks
(Beltagy et al., 2019; Lee et al., 2020; Lewis
et al., 2020a;"," Gu et al., 2020). Biomedical LMs
are typically trained on PubMed, which contains
abstracts and citations of biomedical papers. While
prior works only use their raw text for pretraining,
academic papers have rich dependencies with each
other via citations (references). We hypothesize
that incorporat"
Gu et al.," in both domains.LinkBERT consistently improves on baseline LMs
across domains and tasks. For the general domain,
LinkBERT outperforms BERT on MRQA bench-
mark (+4% absolute in F1-score) as well as GLUE
benchmark. For the biomedical domain, LinkBERT
exceeds PubmedBERT (","Gu et al., 2020) and sets
new states of the art on BLURB biomedical NLP
benchmark (+3% absolute in BLURB score) and
MedQA-USMLE reasoning task (+7% absolute in
accuracy). Overall, LinkBERT attains notably large
gains for multi-hop reasoning, multi-document
understanding"
Gu et al.," in both domains.LinkBERT consistently improves on baseline LMs
across domains and tasks. For the general domain,
LinkBERT outperforms BERT on MRQA bench-
mark (+4% absolute in F1-score) as well as GLUE
benchmark. For the biomedical domain, LinkBERT
exceeds PubmedBERT (","Gu et al., 2020) and sets
new states of the art on BLURB biomedical NLP
benchmark (+3% absolute in BLURB score) and
MedQA-USMLE reasoning task (+7% absolute in
accuracy). Overall, LinkBERT attains notably large
gains for multi-hop reasoning, multi-document
understanding"
Gu et al. (2020,"early decay it.
Training took 7 days on eight A100 GPUs with fp16.
Additionally, while the original PubmedBERT
release did not include the -large size, we pretrain
BioLinkBERT of the -large size (340M params)
from scratch, following the same procedure as
-base, except that we use a peak learning rate of 4e-4
and warm up steps of 20%. Training took 21 days
on eight A100 GPUs with fp16.
Baselines. We compare BioLinkBERT with
PubmedBERT released by ","Gu et al. (2020).
6.2 Evaluation tasks
For downstream tasks, we evaluate on the BLURB
benchmark (Gu et al., 2020), a diverse set of biomed-
ical NLP datasets, and MedQA-USMLE (Jin et al.,
2021), a challenging biomedical QA dataset.
BLURB consists of ﬁve named entity recog-
nition tasks, a PICO (population, intervention,
comparison, and outcome) extraction task, three
relation extraction tasks, a sentence similarity task,
a document classiﬁcation "
Gu et al.," in both domains.LinkBERT consistently improves on baseline LMs
across domains and tasks. For the general domain,
LinkBERT outperforms BERT on MRQA bench-
mark (+4% absolute in F1-score) as well as GLUE
benchmark. For the biomedical domain, LinkBERT
exceeds PubmedBERT (","Gu et al., 2020) and sets
new states of the art on BLURB biomedical NLP
benchmark (+3% absolute in BLURB score) and
MedQA-USMLE reasoning task (+7% absolute in
accuracy). Overall, LinkBERT attains notably large
gains for multi-hop reasoning, multi-document
understanding"
Jin et al.,"s of 20%. Training took 21 days
on eight A100 GPUs with fp16.
Baselines. We compare BioLinkBERT with
PubmedBERT released by Gu et al. (2020).
6.2 Evaluation tasks
For downstream tasks, we evaluate on the BLURB
benchmark (Gu et al., 2020), a diverse set of biomed-
ical NLP datasets, and MedQA-USMLE (","Jin et al.,
2021), a challenging biomedical QA dataset.
BLURB consists of ﬁve named entity recog-
nition tasks, a PICO (population, intervention,
comparison, and outcome) extraction task, three
relation extraction tasks, a sentence similarity task,
a document classiﬁcation task, and two question
ans"
Gu et al.," in both domains.LinkBERT consistently improves on baseline LMs
across domains and tasks. For the general domain,
LinkBERT outperforms BERT on MRQA bench-
mark (+4% absolute in F1-score) as well as GLUE
benchmark. For the biomedical domain, LinkBERT
exceeds PubmedBERT (","Gu et al., 2020) and sets
new states of the art on BLURB biomedical NLP
benchmark (+3% absolute in BLURB score) and
MedQA-USMLE reasoning task (+7% absolute in
accuracy). Overall, LinkBERT attains notably large
gains for multi-hop reasoning, multi-document
understanding"
"Jin et al.
(2021","ble 7. We
follow the same ﬁne-tuning method and evaluation
metric used by PubmedBERT (Gu et al., 2020).
MedQA-USMLE is a 4-way multi-choice QA
task that tests biomedical and clinical knowledge.
The questions are from practice tests for the US
Medical License Exams (USMLE). The questions
typically require multi-hop reasoning, e.g., given
patient symptoms, infer the likely cause, and then
answer the appropriate diagnosis procedure (Figure
4). We follow the ﬁne-tuning method in ","Jin et al.
(2021). More details are provided in Appendix B.
MMLU-professional medicine is a multi-
choice QA task that tests biomedical knowledge
and reasoning, and is part of the popular MMLU
5https://github.com/titipata/pubmed_parserPubMed-
BERT baseBioLink-
BERT baseBioLink-
BERT large
Named entity recognition
BC5-chem (Li et al., 2016) 93.33 93.75 94.04
BC5-disease (Li et al., 2016) 85.62 86.10 86.39
NCBI-disease (Do˘gan et al., 2014) 87.82 88.18 88.76
BC2GM (Smith et al."
Li et al.,"x B.
MMLU-professional medicine is a multi-
choice QA task that tests biomedical knowledge
and reasoning, and is part of the popular MMLU
5https://github.com/titipata/pubmed_parserPubMed-
BERT baseBioLink-
BERT baseBioLink-
BERT large
Named entity recognition
BC5-chem (","Li et al., 2016) 93.33 93.75 94.04
BC5-disease (Li et al., 2016) 85.62 86.10 86.39
NCBI-disease (Do˘gan et al., 2014) 87.82 88.18 88.76
BC2GM (Smith et al., 2008) 84.52 84.90 85.18
JNLPBA (Kim et al., 2004) 80.06 79.03 80.06
PICO extraction
EBM PICO (Nye et al., 2018) 7"
Li et al.,"x B.
MMLU-professional medicine is a multi-
choice QA task that tests biomedical knowledge
and reasoning, and is part of the popular MMLU
5https://github.com/titipata/pubmed_parserPubMed-
BERT baseBioLink-
BERT baseBioLink-
BERT large
Named entity recognition
BC5-chem (","Li et al., 2016) 93.33 93.75 94.04
BC5-disease (Li et al., 2016) 85.62 86.10 86.39
NCBI-disease (Do˘gan et al., 2014) 87.82 88.18 88.76
BC2GM (Smith et al., 2008) 84.52 84.90 85.18
JNLPBA (Kim et al., 2004) 80.06 79.03 80.06
PICO extraction
EBM PICO (Nye et al., 2018) 7"
Smith et al.," task that tests biomedical knowledge
and reasoning, and is part of the popular MMLU
5https://github.com/titipata/pubmed_parserPubMed-
BERT baseBioLink-
BERT baseBioLink-
BERT large
Named entity recognition
BC5-chem (Li et al., 2016) 93.33 93.75 94.04
BC5-disease (Li et al., 2016) 85.62 86.10 86.39
NCBI-disease (Do˘gan et al., 2014) 87.82 88.18 88.76
BC2GM (","Smith et al., 2008) 84.52 84.90 85.18
JNLPBA (Kim et al., 2004) 80.06 79.03 80.06
PICO extraction
EBM PICO (Nye et al., 2018) 73.38 73.97 74.19
Relation extraction
ChemProt (Krallinger et al., 2017) 77.24 77.57 79.98
DDI (Herrero-Zazo et al., 2013) 82.36 82.72 83.35
GAD (Bravo et al., 2015) 82.34 84.39 84.90
Sentence similarity
BIOSSES (So˘gancıo ˘glu et al."
Kim et al.,"itipata/pubmed_parserPubMed-
BERT baseBioLink-
BERT baseBioLink-
BERT large
Named entity recognition
BC5-chem (Li et al., 2016) 93.33 93.75 94.04
BC5-disease (Li et al., 2016) 85.62 86.10 86.39
NCBI-disease (Do˘gan et al., 2014) 87.82 88.18 88.76
BC2GM (Smith et al., 2008) 84.52 84.90 85.18
JNLPBA (","Kim et al., 2004) 80.06 79.03 80.06
PICO extraction
EBM PICO (Nye et al., 2018) 73.38 73.97 74.19
Relation extraction
ChemProt (Krallinger et al., 2017) 77.24 77.57 79.98
DDI (Herrero-Zazo et al., 2013) 82.36 82.72 83.35
GAD (Bravo et al., 2015) 82.34 84.39 84.90
Sentence similarity
BIOSSES (So˘ganc"
Nye et al.,"k-
BERT large
Named entity recognition
BC5-chem (Li et al., 2016) 93.33 93.75 94.04
BC5-disease (Li et al., 2016) 85.62 86.10 86.39
NCBI-disease (Do˘gan et al., 2014) 87.82 88.18 88.76
BC2GM (Smith et al., 2008) 84.52 84.90 85.18
JNLPBA (Kim et al., 2004) 80.06 79.03 80.06
PICO extraction
EBM PICO (","Nye et al., 2018) 73.38 73.97 74.19
Relation extraction
ChemProt (Krallinger et al., 2017) 77.24 77.57 79.98
DDI (Herrero-Zazo et al., 2013) 82.36 82.72 83.35
GAD (Bravo et al., 2015) 82.34 84.39 84.90
Sentence similarity
BIOSSES (So˘gancıo ˘glu et al., 2017) 92.30 93.25 93.63
Document classiﬁcation"
Krallinger et al.,"cal knowledge
and reasoning, and is part of the popular MMLU
5https://github.com/titipata/pubmed_parserPubMed-
BERT baseBioLink-
BERT baseBioLink-
BERT large
Named entity recognition
BC5-chem (Li et al., 2016) 93.33 93.75 94.04
BC5-disease (Li et al., 2016) 85.62 86.10 86.39
NCBI-disease (Do˘gan et al., 2014) 87.82 88.18 88.76
BC2GM (Smith et al., 2008) 84.52 84.90 85.18
JNLPBA (Kim et al., 2004) 80.06 79.03 80.06
PICO extraction
EBM PICO (Nye et al., 2018) 73.38 73.97 74.19
Relation extraction
ChemProt (","Krallinger et al., 2017) 77.24 77.57 79.98
DDI (Herrero-Zazo et al., 2013) 82.36 82.72 83.35
GAD (Bravo et al., 2015) 82.34 84.39 84.90
Sentence similarity
BIOSSES (So˘gancıo ˘glu et al., 2017) 92.30 93.25 93.63
Document classiﬁcation
HoC (Baker et al., 2016) 82.32 84.35 84.87
Question answering
PubMedQA (Jin et al., 2019) 55.84 70.20 72.18
BioASQ (Nentidis et al., 2019) 87.56 91.43 94.82
BLURB score 81.10 83.39 84.30
Table 7: Performance on BLURB benchmark. BioLinkBERT
attains improvement on all tasks, e"
Herrero-Zazo et al.,"ests biomedical knowledge
and reasoning, and is part of the popular MMLU
5https://github.com/titipata/pubmed_parserPubMed-
BERT baseBioLink-
BERT baseBioLink-
BERT large
Named entity recognition
BC5-chem (Li et al., 2016) 93.33 93.75 94.04
BC5-disease (Li et al., 2016) 85.62 86.10 86.39
NCBI-disease (Do˘gan et al., 2014) 87.82 88.18 88.76
BC2GM (Smith et al., 2008) 84.52 84.90 85.18
JNLPBA (Kim et al., 2004) 80.06 79.03 80.06
PICO extraction
EBM PICO (Nye et al., 2018) 73.38 73.97 74.19
Relation extraction
ChemProt (Krallinger et al., 2017) 77.24 77.57 79.98
DDI (","Herrero-Zazo et al., 2013) 82.36 82.72 83.35
GAD (Bravo et al., 2015) 82.34 84.39 84.90
Sentence similarity
BIOSSES (So˘gancıo ˘glu et al., 2017) 92.30 93.25 93.63
Document classiﬁcation
HoC (Baker et al., 2016) 82.32 84.35 84.87
Question answering
PubMedQA (Jin et al., 2019) 55.84 70.20 72.18
BioASQ (Nentidis et al., 2019) 87.56 91.43 94.82
BLURB score 81.10 83.39 84.30
Table 7: Performance on BLURB benchmark. BioLinkBERT
attains improvement on all tasks, establishing new state of
the art on BLURB. Gains are notably large on document-level
tasks such as PubMedQA "
Bravo et al.,"l., 2016) 85.62 86.10 86.39
NCBI-disease (Do˘gan et al., 2014) 87.82 88.18 88.76
BC2GM (Smith et al., 2008) 84.52 84.90 85.18
JNLPBA (Kim et al., 2004) 80.06 79.03 80.06
PICO extraction
EBM PICO (Nye et al., 2018) 73.38 73.97 74.19
Relation extraction
ChemProt (Krallinger et al., 2017) 77.24 77.57 79.98
DDI (Herrero-Zazo et al., 2013) 82.36 82.72 83.35
GAD (","Bravo et al., 2015) 82.34 84.39 84.90
Sentence similarity
BIOSSES (So˘gancıo ˘glu et al., 2017) 92.30 93.25 93.63
Document classiﬁcation
HoC (Baker et al., 2016) 82.32 84.35 84.87
Question answering
PubMedQA (Jin et al., 2019) 55.84 70.20 72.18
BioASQ (Nentidis et al., 2019) 87.56 91.43 94.82
BLURB score 81.10 83.39 84.30
Table 7: Performance on BLURB benchm"
Baker et al.,"l., 2004) 80.06 79.03 80.06
PICO extraction
EBM PICO (Nye et al., 2018) 73.38 73.97 74.19
Relation extraction
ChemProt (Krallinger et al., 2017) 77.24 77.57 79.98
DDI (Herrero-Zazo et al., 2013) 82.36 82.72 83.35
GAD (Bravo et al., 2015) 82.34 84.39 84.90
Sentence similarity
BIOSSES (So˘gancıo ˘glu et al., 2017) 92.30 93.25 93.63
Document classiﬁcation
HoC (","Baker et al., 2016) 82.32 84.35 84.87
Question answering
PubMedQA (Jin et al., 2019) 55.84 70.20 72.18
BioASQ (Nentidis et al., 2019) 87.56 91.43 94.82
BLURB score 81.10 83.39 84.30
Table 7: Performance on BLURB benchmark. BioLinkBERT
attains improvement on all tasks, establishing new state of
the art on BLURB. Gains are notably large on document-level
tasks"
Jin et al.,"s of 20%. Training took 21 days
on eight A100 GPUs with fp16.
Baselines. We compare BioLinkBERT with
PubmedBERT released by Gu et al. (2020).
6.2 Evaluation tasks
For downstream tasks, we evaluate on the BLURB
benchmark (Gu et al., 2020), a diverse set of biomed-
ical NLP datasets, and MedQA-USMLE (","Jin et al.,
2021), a challenging biomedical QA dataset.
BLURB consists of ﬁve named entity recog-
nition tasks, a PICO (population, intervention,
comparison, and outcome) extraction task, three
relation extraction tasks, a sentence similarity task,
a document classiﬁcation task, and two question
ans"
Nentidis et al.," 80.06
PICO extraction
EBM PICO (Nye et al., 2018) 73.38 73.97 74.19
Relation extraction
ChemProt (Krallinger et al., 2017) 77.24 77.57 79.98
DDI (Herrero-Zazo et al., 2013) 82.36 82.72 83.35
GAD (Bravo et al., 2015) 82.34 84.39 84.90
Sentence similarity
BIOSSES (So˘gancıo ˘glu et al., 2017) 92.30 93.25 93.63
Document classiﬁcation
HoC (Baker et al., 2016) 82.32 84.35 84.87
Question answering
PubMedQA (Jin et al., 2019) 55.84 70.20 72.18
BioASQ (","Nentidis et al., 2019) 87.56 91.43 94.82
BLURB score 81.10 83.39 84.30
Table 7: Performance on BLURB benchmark. BioLinkBERT
attains improvement on all tasks, establishing new state of
the art on BLURB. Gains are notably large on document-level
tasks such as PubMedQA and BioASQ.
Methods Acc. (%)
BioBERT large (Lee et al., 2020) 36.7
QAGNN (Yasunaga et al., 2021) 38.0
GreaseLM (Zhang et al., 2022) 38.5
PubmedBERT base (Gu et al., 2020) 38.1
BioLink"
Lee et al.," multi-
ple documents (HotpotQA, TriviaQA, and SQuAD
with distracting documents). This suggests that
DRP facilitates LMs to learn document relations.
6 Biomedical LinkBERT ( BioLinkBERT )
Pretraining LMs on biomedical text is shown
to boost performance on biomedical NLP tasks
(Beltagy et al., 2019; ","Lee et al., 2020; Lewis
et al., 2020a; Gu et al., 2020). Biomedical LMs
are typically trained on PubMed, which contains
abstracts and citations of biomedical papers. While
prior works only use their raw text for pretraining,
academic papers have rich dependencies with each
other via citations (refer"
Yasunaga et al.,"uestion answering.
Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; ","Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasu"
Zhang et al.,"ers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. ","Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and
KGs. Different from KGs, we use document graphs
to learn knowledge that spans across documents.
3 Preliminaries
A language m"
Gu et al.," in both domains.LinkBERT consistently improves on baseline LMs
across domains and tasks. For the general domain,
LinkBERT outperforms BERT on MRQA bench-
mark (+4% absolute in F1-score) as well as GLUE
benchmark. For the biomedical domain, LinkBERT
exceeds PubmedBERT (","Gu et al., 2020) and sets
new states of the art on BLURB biomedical NLP
benchmark (+3% absolute in BLURB score) and
MedQA-USMLE reasoning task (+7% absolute in
accuracy). Overall, LinkBERT attains notably large
gains for multi-hop reasoning, multi-document
understanding"
Brown et al.,"asoning and
few-shot QA (+5% absolute improvement on
HotpotQA and TriviaQA), and our biomedical
LinkBERT sets new states of the art on various
BioNLP tasks (+7% on BioASQ and USMLE).
We release our pretrained models, LinkBERT
andBioLinkBERT , as well as code and data.1
1 Introduction
Pretrained language models (LMs), like BERT and
GPTs (Devlin et al., 2019; ","Brown et al., 2020), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
"
Khashabi et al.,"document-level
tasks such as PubMedQA and BioASQ.
Methods Acc. (%)
BioBERT large (Lee et al., 2020) 36.7
QAGNN (Yasunaga et al., 2021) 38.0
GreaseLM (Zhang et al., 2022) 38.5
PubmedBERT base (Gu et al., 2020) 38.1
BioLinkBERT base(Ours ) 40.0
BioLinkBERT large (Ours ) 44.6
Table 8: Performance on MedQA-USMLE. BioLinkBERT
outperforms all previous biomedical LMs.
Methods Acc. (%)
GPT-3 (175B params) (Brown et al., 2020) 38.7
UniﬁedQA (11B params) (","Khashabi et al., 2020) 43.2
BioLinkBERT large (Ours ) 50.7
Table 9: Performance on MMLU-professional medicine.
BioLinkBERT signiﬁcantly outperforms the largest general-
domain LM or QA model, despite having just 340M parameters.
benchmark (Hendrycks et al., 2021) that is used
to evaluate massive language models. We take the
BioLinkBERT ﬁne-tuned on the above MedQA-
USMLE task, and evaluate on this task without
further adaptation.
6.3 Results
BLUR"
Hendrycks et al.,"8.1
BioLinkBERT base(Ours ) 40.0
BioLinkBERT large (Ours ) 44.6
Table 8: Performance on MedQA-USMLE. BioLinkBERT
outperforms all previous biomedical LMs.
Methods Acc. (%)
GPT-3 (175B params) (Brown et al., 2020) 38.7
UniﬁedQA (11B params) (Khashabi et al., 2020) 43.2
BioLinkBERT large (Ours ) 50.7
Table 9: Performance on MMLU-professional medicine.
BioLinkBERT signiﬁcantly outperforms the largest general-
domain LM or QA model, despite having just 340M parameters.
benchmark (","Hendrycks et al., 2021) that is used
to evaluate massive language models. We take the
BioLinkBERT ﬁne-tuned on the above MedQA-
USMLE task, and evaluate on this task without
further adaptation.
6.3 Results
BLURB. Table 7 shows the results on BLURB.
BioLinkBERT baseoutperforms PubmedBERT base
on all task categories, attaining a performance
boost of +2% absolute on average. Moreover,
BioLinkBERT large provides a further boost of
+1%. In total, BioLinkBERT outperforms the
previo"
